                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.85573,                0.87219,                0.90381,                0.88669,                0.19468,                0.45324,                0.13115,                0.07533,                0.12743,                0.22084,                0.03127,                0.01259,                 3.8985,                 199.68,                    inf,                 4.9642,              0.0013947,              0.0013947,              0.0013947
                     35,                0.85407,                0.97166,                0.90908,                0.88377,                0.19468,                0.45324,                0.13115,                0.07533,                0.12743,                0.22084,                0.03127,                0.01259,                 2.5755,                 49.606,                    inf,                 1.6295,              0.0013947,              0.0013947,              0.0013947
                     36,                0.88858,                 1.0595,                0.93011,                0.88714,                0.10062,                 0.4598,                0.05266,                0.04222,                 0.0986,                0.45583,                0.05202,                0.03417,                0.96776,                 4.8142,                  18.43,                0.95859,              0.0013864,              0.0013864,              0.0013864
                     37,                0.91896,                  1.012,                0.92337,                0.90217,                0.10062,                 0.4598,                0.05266,                0.04222,                 0.0986,                0.45583,                0.05202,                0.03417,                0.96776,                 4.8142,                  18.43,                0.95859,              0.0013782,              0.0013782,              0.0013782
                     38,                0.94439,                 1.0268,                 0.8953,                0.87342,                0.01171,                0.14148,                0.00703,                0.00568,                0.01171,                0.14148,                0.00703,                0.00471,                0.93105,                  1.787,                  33.57,                0.96215,              0.0013699,              0.0013699,              0.0013699
                     39,                0.92473,                 1.0334,                0.88843,                 0.8918,                0.80218,                0.49251,                0.68073,                0.52609,                  0.808,                0.50044,                0.68588,                 0.4381,                0.84934,                 1.5495,                 4.1649,                0.92169,              0.0013617,              0.0013617,              0.0013617
                     40,                0.81531,                0.89534,                0.82918,                0.86504,                0.51502,                0.80213,                0.73601,                0.58124,                0.52213,                0.81404,                 0.7472,                0.48975,                0.87268,                 1.4963,                 1.5507,                0.93706,              0.0013534,              0.0013534,              0.0013534
                     41,                0.79332,                0.91753,                0.84911,                0.85362,                0.51502,                0.80213,                0.73601,                0.58124,                0.52213,                0.81404,                 0.7472,                0.48975,                0.87268,                 1.4963,                 1.5507,                0.93706,              0.0013452,              0.0013452,              0.0013452
                     42,                0.82477,                0.94893,                0.95898,                0.86517,                0.71853,                0.70876,                0.78527,                0.60322,                0.67581,                0.75431,                0.79177,                0.50228,                0.85209,                 1.4519,                 1.2677,                 0.9444,              0.0013369,              0.0013369,              0.0013369
                     43,                0.89928,                0.95579,                 1.0567,                0.87624,                0.71853,                0.70876,                0.78527,                0.60322,                0.67581,                0.75431,                0.79177,                0.50228,                 1.5463,                  3.608,                    inf,                 1.2963,              0.0013287,              0.0013287,              0.0013287
                     44,                0.92519,                 1.1356,                0.95356,                0.86195,                0.63183,                0.71573,                 0.7659,                0.57813,                0.62871,                0.71341,                 0.7624,                0.44265,                0.85228,                 1.6878,                 1.2701,                0.92146,              0.0013204,              0.0013204,              0.0013204
                     45,                0.86388,                 1.0422,                 0.9673,                0.88001,                0.63183,                0.71573,                 0.7659,                0.57813,                0.62871,                0.71341,                 0.7624,                0.44265,                0.85228,                 1.6878,                 1.2701,                0.92146,              0.0013122,              0.0013122,              0.0013122
                     46,                 0.8082,                 0.9314,                0.89502,                0.86202,                0.74422,                0.61471,                0.73644,                0.54957,                0.71051,                0.62095,                0.71371,                0.40257,                0.93246,                 1.7705,                 1.2709,                0.95283,              0.0013039,              0.0013039,              0.0013039
                     47,                0.88963,                 1.0901,                0.86621,                0.89196,                0.72623,                0.62095,                0.71142,                0.54156,                0.72552,                0.62703,                0.70965,                0.43049,                0.91036,                 1.3885,                 1.2228,                0.94738,              0.0012957,              0.0012957,              0.0012957
                     48,                0.94485,                 1.1579,                0.93591,                0.87976,                0.72688,                0.66705,                0.72881,                0.55408,                0.70427,                0.66092,                0.70773,                0.41372,                0.88739,                  1.417,                 1.1447,                0.93258,              0.0012874,              0.0012874,              0.0012874
                     49,                0.82618,                0.95839,                0.93185,                0.86784,                0.72688,                0.66705,                0.72881,                0.55408,                0.70427,                0.66092,                0.70773,                0.41372,                0.88739,                  1.417,                 1.1447,                0.93258,              0.0012792,              0.0012792,              0.0012792
                     50,                0.79708,                0.91887,                0.97309,                0.86191,                 0.6576,                0.73264,                0.72699,                0.55351,                0.65011,                0.72371,                0.71289,                0.41336,                0.86946,                 1.4143,                 1.2459,                0.92462,              0.0012709,              0.0012709,              0.0012709
                     51,                0.79153,                0.86386,                0.89222,                0.88045,                0.67718,                0.68507,                0.74974,                0.58465,                0.67718,                0.68507,                0.73787,                  0.434,                0.85807,                  1.434,                 1.0516,                0.93723,              0.0012627,              0.0012627,              0.0012627
                     52,                0.85403,                 1.0388,                 0.9016,                0.87795,                 0.6508,                0.73171,                0.74755,                 0.5748,                0.66928,                0.73498,                0.76211,                 0.4213,                0.87638,                 1.4833,                 1.0494,                 0.9405,              0.0012544,              0.0012544,              0.0012544
                     53,                0.80681,                0.82608,                0.84277,                0.87542,                 0.6508,                0.73171,                0.74755,                 0.5748,                0.66928,                0.73498,                0.76211,                 0.4213,                0.87638,                 1.4833,                 1.0494,                 0.9405,              0.0012462,              0.0012462,              0.0012462
                     54,                0.79787,                0.84592,                0.87861,                0.86685,                0.79727,                0.65877,                0.78288,                0.61106,                0.81359,                0.67034,                0.80317,                0.45771,                0.80368,                 1.3063,                0.98529,                0.92059,              0.0012379,              0.0012379,              0.0012379
                     55,                0.83053,                0.90947,                0.84411,                0.87598,                0.69513,                0.69651,                 0.7802,                0.61071,                0.66829,                0.74288,                0.79731,                0.47694,                0.78338,                 1.1564,                0.97782,                0.91006,              0.0012297,              0.0012297,              0.0012297
                     56,                0.77907,                 0.8203,                0.81869,                0.88205,                0.78041,                0.66563,                 0.8043,                0.64543,                0.77729,                0.66166,                 0.8038,                 0.5036,                0.76024,                 1.1564,                0.98911,                0.90256,              0.0012214,              0.0012214,              0.0012214
                     57,                0.83558,                0.90261,                0.94127,                0.88256,                0.78041,                0.66563,                 0.8043,                0.64543,                0.77729,                0.66166,                 0.8038,                 0.5036,                0.76024,                 1.1564,                0.98911,                0.90256,              0.0012132,              0.0012132,              0.0012132
                     58,                0.81576,                0.92573,                0.79887,                0.89173,                0.71188,                 0.6049,                0.71163,                0.54289,                0.70172,                0.59696,                0.69924,                0.40789,                0.86037,                 1.5406,                 1.2143,                0.94795,              0.0012049,              0.0012049,              0.0012049
                     59,                0.80801,                 1.0018,                0.79598,                0.88515,                0.71316,                0.70971,                0.79173,                0.62596,                0.69396,                0.73975,                0.79869,                0.49887,                 0.8116,                 1.3456,                0.97809,                0.92162,              0.0011967,              0.0011967,              0.0011967
                     60,                0.81174,                0.93734,                0.81024,                0.86724,                0.71202,                 0.7265,                0.78546,                0.62176,                0.72472,                0.73841,                0.80513,                0.49961,                0.78559,                 1.2809,                0.96964,                 0.9145,              0.0011884,              0.0011884,              0.0011884
                     61,                0.83555,                  1.013,                 0.8032,                0.87241,                0.71202,                 0.7265,                0.78546,                0.62176,                0.72472,                0.73841,                0.80513,                0.49961,                0.78559,                 1.2809,                0.96964,                 0.9145,              0.0011802,              0.0011802,              0.0011802
                     62,                0.80653,                0.92158,                 0.7706,                0.86367,                0.65661,                0.74217,                0.79928,                0.61192,                0.66672,                0.75408,                0.81573,                0.50152,                0.82342,                 1.2458,                0.95149,                0.91507,              0.0011719,              0.0011719,              0.0011719
