                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.6346,                 1.8476,                 1.0886,                0.41929,                0.59558,                0.45711,                0.30366,                 1.4242,                 1.6311,                  1.146,             0.00084184,             0.00084184,             0.00084184
                     53,                 1.5738,                 1.6322,                 1.0834,                0.41929,                0.59558,                0.45711,                0.30366,                 1.4242,                 1.6311,                  1.146,             0.00082533,             0.00082533,             0.00082533
                     54,                 1.6013,                 1.6416,                 1.1132,                0.36635,                 0.6626,                0.45396,                0.30575,                 1.4675,                 1.7192,                 1.1967,             0.00080883,             0.00080883,             0.00080883
                     55,                 1.6137,                 1.6525,                 1.1087,                0.37319,                0.67849,                0.46358,                0.30857,                 1.4417,                 1.8471,                 1.1566,             0.00079233,             0.00079233,             0.00079233
                     56,                 1.5596,                 1.6064,                 1.1474,                0.36232,                0.68867,                0.42716,                0.25906,                 1.5503,                 2.0091,                  1.129,             0.00077582,             0.00077582,             0.00077582
                     57,                 1.5538,                 1.6476,                 1.0844,                0.36232,                0.68867,                0.42716,                0.25906,                 1.5503,                 2.0091,                  1.129,             0.00075932,             0.00075932,             0.00075932
                     58,                 1.5747,                  1.626,                 1.1171,                0.26372,                0.68133,                0.30311,                0.18818,                 1.4824,                 2.1888,                 1.1561,             0.00074282,             0.00074282,             0.00074282
                     59,                 1.6148,                 1.7039,                 1.1422,                0.29334,                0.67437,                 0.3349,                0.20483,                 1.5172,                 2.1735,                 1.1649,             0.00072631,             0.00072631,             0.00072631
                     60,                 1.5289,                 1.6024,                 1.0685,                0.38874,                0.73085,                0.43401,                0.25174,                 1.5894,                 2.2114,                 1.1393,             0.00070981,             0.00070981,             0.00070981
                     61,                 1.5886,                 1.6379,                  1.089,                0.38874,                0.73085,                0.43401,                0.25174,                 1.5894,                 2.2114,                 1.1393,             0.00069331,             0.00069331,             0.00069331
                     62,                 1.5257,                 1.5823,                 1.0546,                0.37307,                0.70704,                0.45347,                0.28659,                 1.4997,                 2.1812,                 1.1161,              0.0006768,              0.0006768,              0.0006768
                     63,                 1.3888,                 1.5145,                0.99654,                0.42534,                0.67133,                0.42148,                0.29298,                 1.3227,                 2.2325,                 1.1301,              0.0006603,              0.0006603,              0.0006603
                     64,                  1.539,                 1.5854,                 1.0937,                0.33063,                0.69444,                0.37611,                0.26123,                 1.2934,                  2.179,                 1.1185,              0.0006438,              0.0006438,              0.0006438
                     65,                 1.4815,                 1.5572,                 1.0743,                0.33063,                0.69444,                0.37611,                0.26123,                 1.2934,                  2.179,                 1.1185,             0.00062729,             0.00062729,             0.00062729
                     66,                 1.4636,                 1.6188,                   1.06,                0.26232,                0.65079,                0.29953,                0.20704,                  1.276,                 2.0013,                 1.1033,             0.00061079,             0.00061079,             0.00061079
                     67,                 1.5904,                 1.6546,                 1.1279,                0.30139,                0.65873,                0.34208,                 0.2276,                 1.3438,                 1.7939,                 1.1083,             0.00059429,             0.00059429,             0.00059429
                     68,                 1.4616,                 1.6056,                  1.054,                0.30861,                 0.6746,                0.37145,                0.24475,                 1.2481,                   1.73,                 1.0677,             0.00057778,             0.00057778,             0.00057778
                     69,                 1.5245,                 1.5899,                 1.0472,                0.30861,                 0.6746,                0.37145,                0.24475,                 1.2481,                   1.73,                 1.0677,             0.00056128,             0.00056128,             0.00056128
                     70,                  1.446,                 1.6024,                 1.0209,                0.35141,                0.66667,                0.39535,                0.25313,                 1.1974,                 1.6797,                 1.0434,             0.00054478,             0.00054478,             0.00054478
                     71,                 1.3751,                 1.5354,                 1.0156,                0.32374,                 0.6746,                0.38644,                0.24944,                 1.2147,                 1.7534,                 1.0466,             0.00052827,             0.00052827,             0.00052827
                     72,                  1.392,                 1.5026,                 1.0208,                 0.2786,                0.69841,                0.34846,                0.23623,                 1.2184,                 1.8291,                 1.0486,             0.00051177,             0.00051177,             0.00051177
                     73,                 1.3267,                 1.4764,                 1.0098,                 0.2786,                0.69841,                0.34846,                0.23623,                 1.2184,                 1.8291,                 1.0486,             0.00049527,             0.00049527,             0.00049527
                     74,                 1.5225,                 1.5426,                  1.081,                0.33443,                0.70434,                0.39257,                0.26999,                  1.222,                 1.6963,                 1.0498,             0.00047876,             0.00047876,             0.00047876
                     75,                   1.49,                 1.5778,                 1.0657,                0.42043,                0.73333,                0.47312,                0.32444,                 1.1721,                 1.5438,                 1.0352,             0.00046226,             0.00046226,             0.00046226
                     76,                  1.326,                 1.5929,                  1.045,                0.46988,                0.71498,                0.47466,                0.33801,                 1.1417,                 1.5064,                 1.0361,             0.00044576,             0.00044576,             0.00044576
                     77,                 1.2917,                  1.483,                 1.0225,                0.46988,                0.71498,                0.47466,                0.33801,                 1.1417,                 1.5064,                 1.0361,             0.00042925,             0.00042925,             0.00042925
                     78,                 1.2677,                 1.4787,                0.98077,                 0.4149,                 0.7084,                0.42153,                0.28718,                 1.2233,                  1.569,                 1.0556,             0.00041275,             0.00041275,             0.00041275
                     79,                 1.4554,                 1.5766,                 1.0699,                0.42759,                0.69841,                0.40816,                 0.2679,                  1.238,                 1.5787,                 1.0492,             0.00039625,             0.00039625,             0.00039625
                     80,                 1.4793,                 1.5053,                 1.0779,                0.43979,                0.69822,                0.44216,                0.28701,                 1.2014,                 1.5294,                 1.0416,             0.00037974,             0.00037974,             0.00037974
                     81,                 1.3041,                 1.4213,                0.99823,                0.43979,                0.69822,                0.44216,                0.28701,                 1.2014,                 1.5294,                 1.0416,             0.00036324,             0.00036324,             0.00036324
                     82,                 1.3358,                 1.4564,                  1.015,                0.42201,                0.71032,                0.42267,                0.28673,                 1.1655,                 1.5286,                 1.0347,             0.00034674,             0.00034674,             0.00034674
                     83,                 1.3343,                 1.4263,                 1.0084,                0.37383,                0.70409,                0.42126,                0.28976,                 1.1495,                 1.5163,                 1.0299,             0.00033023,             0.00033023,             0.00033023
